id,label,text,label_text,label_text_ch
1,48,星期五早上九点叫醒我,alarm_set,报警器
2,48,设个两小时后的闹钟,alarm_set,报警器
4,46,olly 安静,audio_volume_mute,音量静音
5,46,停止,audio_volume_mute,音量静音
6,46,欧丽暂停十秒,audio_volume_mute,音量静音
7,46,暂停十秒钟,audio_volume_mute,音量静音
9,1,让这里的灯光更加温暖一点,iot_hue_lightchange,物联网色调光变
10,1,请设置适合阅读的灯光,iot_hue_lightchange,物联网色调光变
12,40,是时候睡觉了,iot_hue_lightoff,物联网色调熄灯
13,40,是时候睡觉了 olly,iot_hue_lightoff,物联网色调熄灯
15,40,关掉浴室的灯,iot_hue_lightoff,物联网色调熄灯
16,31,olly 把大厅里的灯调暗,iot_hue_lightdim,物联网色调 lightdim
18,40,关掉卧室的灯,iot_hue_lightoff,物联网色调熄灯
20,1,设置灯为百分之二十,iot_hue_lightchange,物联网色调光变
21,1,olly 把灯光调到两成,iot_hue_lightchange,物联网色调光变
22,31,小度变暗厨房灯光,iot_hue_lightdim,物联网色调 lightdim
23,31,调暗厨房灯,iot_hue_lightdim,物联网色调 lightdim
25,34,olly 打扫公寓,iot_cleaning,物联网清洁
28,34,给房子吸尘,iot_cleaning,物联网清洁
29,34,小度把房子用吸尘器吸干净,iot_cleaning,物联网清洁
32,34,地毯,iot_cleaning,物联网清洁
33,32,看一下演出什么时候开始,calendar_query,日历查询
34,45,我想再听一次周杰伦的歌,play_music,播放音乐
35,45,我想再次播放那首音乐,play_music,播放音乐
36,12,确认一下我的车准备好了吗,general_quirky,一般古怪
37,12,检查我的笔记本在工作吗,general_quirky,一般古怪
38,12,我的屏幕的亮度降低了嗎,general_quirky,一般古怪
39,12,我需要打开定位服务你能查一下吗,general_quirky,一般古怪
40,12,检查我的电量使用状态,general_quirky,一般古怪
43,12,我不累我真的很开心,general_quirky,一般古怪
44,12,小度我不累我真的很开心,general_quirky,一般古怪
45,5,最近怎样,general_greet,一般问候
48,0,告诉我莫斯科时间,datetime_query,日期时间查询
49,38,告诉我格林威治时间加五是几点,datetime_convert,日期时间转换
51,3,欧丽列出所有评分高的中式外送,takeaway_query,外卖查询
52,3,评分最高的中餐外送,takeaway_query,外卖查询
54,3,olly 评分最高的中餐外送,takeaway_query,外卖查询
55,3,我想要吃一些咖喱有什么推荐吗,takeaway_query,外卖查询
56,3,天猫精灵如果有任何推荐的话我想吃点咖喱,takeaway_query,外卖查询
57,3,在三源里菜市场附近找我的泰国菜外卖,takeaway_query,外卖查询
60,52,停止七点的闹钟,alarm_remove,警报解除
62,23,列出有效闹钟,alarm_query,报警查询
65,22,今天有什么关于足球的消息吗,news_query,新闻查询
66,45,请播放飞轮海的只对你有感觉,play_music,播放音乐
69,43,我喜欢摇滚音乐,music_likeness,音乐相似度
70,43,告五人我的最喜爱音乐乐队,music_likeness,音乐相似度
72,45,开始播放收藏夹中的音乐,play_music,播放音乐
73,45,请播放我最好的音乐,play_music,播放音乐
75,57,谁是当前音乐的作者,music_query,音乐查询
76,57,这张专辑的流行音乐来自哪里,music_query,音乐查询
77,43,olly 我喜欢这歌曲,music_likeness,音乐相似度
78,43,你正播放的歌曲太棒了,music_likeness,音乐相似度
79,43,这是最适合我的歌曲之一,music_likeness,音乐相似度
81,18,让灯更亮,iot_hue_lightup,物联网色调点亮
82,18,请调亮灯到最大,iot_hue_lightup,物联网色调点亮
83,34,启动扫地机器人,iot_cleaning,物联网清洁
84,34,启动扫地机器人,iot_cleaning,物联网清洁
87,16,请为晚餐订一些寿司,takeaway_order,外卖订单
88,16,我想你下单汉堡包,takeaway_order,外卖订单
91,16,我能从萨莉亚意式餐厅点外卖当晚餐吗,takeaway_order,外卖订单
92,3,拜伦有外卖吗,takeaway_query,外卖查询
93,48,定个十二点的闹钟,alarm_set,报警器
94,48,设置一个四十分钟后的闹钟,alarm_set,报警器
95,48,设个每个工作日八点的闹钟,alarm_set,报警器
96,13,下雨了吗,weather_query,天气查询
97,13,要下雨了嘛,weather_query,天气查询
98,13,正在下雪吗,weather_query,天气查询
101,13,这周的天气如何,weather_query,天气查询
104,22,告诉我环球时报的新闻,news_query,新闻查询
105,22,中国新闻网有什么新闻,news_query,新闻查询
106,22,呼市新闻的最新新聞是什么,news_query,新闻查询
108,45,播放一首我喜欢的歌曲,play_music,播放音乐
110,45,播放五月天,play_music,播放音乐
111,45,放一些五月天的音乐,play_music,播放音乐
114,28,随机播放此播放列表,music_settings,音乐设置
116,57,正在播放什么,music_query,音乐查询
117,57,这是什么音乐,music_query,音乐查询
118,57,告诉我谁是这首歌的歌手,music_query,音乐查询
119,25,让我笑,general_joke,一般笑话
120,25,olly 让我笑,general_joke,一般笑话
121,25,给我讲一个有趣的笑话,general_joke,一般笑话
123,25,给我讲个笑话,general_joke,一般笑话
125,25,alexa 给我讲个笑话,general_joke,一般笑话
126,25,鼓励一下我,general_joke,一般笑话
129,12,告诉我今天的情况,general_quirky,一般古怪
130,16,下单比萨,takeaway_order,外卖订单
131,16,从美团外卖点比萨,takeaway_order,外卖订单
133,3,我的订单什么时候到,takeaway_query,外卖查询
134,3,我的外卖还有多久,takeaway_query,外卖查询
135,3,多米诺的运送情况,takeaway_query,外卖查询
136,57,正在播放什么,music_query,音乐查询
137,57,告诉我歌名,music_query,音乐查询
139,45,播放我的爵士乐播放列表,play_music,播放音乐
140,45,开始我的爵士乐播放列表,play_music,播放音乐
141,45,播放我的最愛播放列表,play_music,播放音乐
142,43,那是一首好歌,music_likeness,音乐相似度
143,7,我不喜欢这个,music_dislikeness,不喜欢音乐
144,43,我喜欢它,music_likeness,音乐相似度
145,43,我喜欢爵士乐,music_likeness,音乐相似度
146,45,你能播放一些爵士乐吗,play_music,播放音乐
149,43,这首歌非常好,music_likeness,音乐相似度
152,29,改变音量,audio_volume_other,音量 其他
153,28,启用随机播放,music_settings,音乐设置
154,28,保存设置,music_settings,音乐设置
155,1,将亮度设置到五成,iot_hue_lightchange,物联网色调光变
156,31,调低亮度,iot_hue_lightdim,物联网色调 lightdim
157,31,降低亮度,iot_hue_lightdim,物联网色调 lightdim
159,31,降低亮度,iot_hue_lightdim,物联网色调 lightdim
160,31,把灯光调暗,iot_hue_lightdim,物联网色调 lightdim
161,31,小度调暗灯光,iot_hue_lightdim,物联网色调 lightdim
162,56,煮一杯咖啡给我,iot_coffee,物联网咖啡
163,56,olly 给我泡杯咖啡,iot_coffee,物联网咖啡
164,56,我需要一杯咖啡,iot_coffee,物联网咖啡
165,56,我现在想喝点咖啡,iot_coffee,物联网咖啡
166,5,你好,general_greet,一般问候
172,48,定个十点闹钟,alarm_set,报警器
175,22,告诉我最新的科技消息,news_query,新闻查询
176,22,告诉我最新的科技消息,news_query,新闻查询
179,13,告诉我天气如何,weather_query,天气查询
180,13,现在的天气如何,weather_query,天气查询
181,13,现在下雨了吗,weather_query,天气查询
183,45,打开我的周杰伦歌单,play_music,播放音乐
184,45,从我的播放列表播放陈奕迅的歌,play_music,播放音乐
186,45,最后一首,play_music,播放音乐
187,14,调高音量,audio_volume_up,音量调高
190,24,开启智能插座,iot_wemo_on,iot wemo on
191,24,打开插头,iot_wemo_on,iot wemo on
192,24,开启我的智能插座,iot_wemo_on,iot wemo on
193,25,给我讲些笑话把,general_joke,一般笑话
194,25,你知道哪些笑话,general_joke,一般笑话
195,0,几点,datetime_query,日期时间查询
196,0,告诉我现在几点,datetime_query,日期时间查询
198,3,必胜客做外卖吗,takeaway_query,外卖查询
199,3,我最喜欢的比萨可以点外卖吗,takeaway_query,外卖查询
200,16,外带西班牙的,takeaway_order,外卖订单
202,52,取消闹钟,alarm_remove,警报解除
203,23,给我查一下设了哪些闹钟,alarm_query,报警查询
204,23,我有设任何闹钟吗,alarm_query,报警查询
205,23,显示闹钟,alarm_query,报警查询
206,13,北京天气咋样啊,weather_query,天气查询
207,13,告诉我上海的天气情况,weather_query,天气查询
209,1,调整光线为适合阅读,iot_hue_lightchange,物联网色调光变
210,1,请调整灯光有利于观看,iot_hue_lightchange,物联网色调光变
211,18,使得房间更明亮,iot_hue_lightup,物联网色调点亮
212,41,开灯,iot_hue_lighton,物联网色调莱顿
213,0,今天几月几号,datetime_query,日期时间查询
214,0,今天是周几,datetime_query,日期时间查询
215,0,告诉我日期,datetime_query,日期时间查询
218,13,小爱下雨,weather_query,天气查询
221,1,把灯光改成绿色,iot_hue_lightchange,物联网色调光变
222,43,把这首歌加到我的最爱列表中,music_likeness,音乐相似度
223,57,这首歌曲叫什么,music_query,音乐查询
224,40,olly 关灯,iot_hue_lightoff,物联网色调熄灯
225,40,关灯,iot_hue_lightoff,物联网色调熄灯
226,34,请打扫地板,iot_cleaning,物联网清洁
227,24,打开电饭煲插座,iot_wemo_on,iot wemo on
228,8,关掉电饭煲的插座,iot_wemo_off,iot wemo 关闭
231,16,你能帮我从戶戶送订一些寿司吗,takeaway_order,外卖订单
233,48,设个下午四点的闹钟,alarm_set,报警器
234,48,olly 下午三点提醒我去音乐会,alarm_set,报警器
235,48,提醒我下午三点去音乐会,alarm_set,报警器
236,23,早上航班我设闹钟了吗,alarm_query,报警查询
238,23,定过闹铃吗,alarm_query,报警查询
239,13,郑州下雨了吗,weather_query,天气查询
240,13,今天下雨吗,weather_query,天气查询
241,13,外面怎么样,weather_query,天气查询
243,22,世界上到底发生了什么,news_query,新闻查询
244,22,佛山发生了什么,news_query,新闻查询
245,22,给我展示一些来自腾讯新闻的消息,news_query,新闻查询
246,22,展示一些今日头条的新闻,news_query,新闻查询
247,22,播放中国日报网新闻,news_query,新闻查询
248,22,黑客新闻,news_query,新闻查询
249,45,给我播放一些嘻哈音乐,play_music,播放音乐
252,45,现在播放死亡金屬音樂,play_music,播放音乐
255,57,下班后我通常喜欢听什么音乐,music_query,音乐查询
257,45,olly 播放我最喜欢的钢琴家的音乐,play_music,播放音乐
259,35,你太大声了,audio_volume_down,音量降低
260,14,欧丽我几乎听不见你说的,audio_volume_up,音量调高
262,1,把灯调成蓝色,iot_hue_lightchange,物联网色调光变
264,1,让灯发出蓝色的灯光,iot_hue_lightchange,物联网色调光变
265,40,olly 晚安熄灯,iot_hue_lightoff,物联网色调熄灯
267,41,这里太黑了,iot_hue_lighton,物联网色调莱顿
268,18,让灯光更亮,iot_hue_lightup,物联网色调点亮
269,41,小度这里太暗了我都看不见我的手了,iot_hue_lighton,物联网色调莱顿
270,0,现在几点,datetime_query,日期时间查询
273,57,那首歌是什么,music_query,音乐查询
274,57,olly 这是什么歌,music_query,音乐查询
275,57,歌手把这首歌命名为泡沫是什么意思啊,music_query,音乐查询
276,57,谁唱了那首歌爱你,music_query,音乐查询
277,13,北京天气怎么样啊,weather_query,天气查询
278,13,北京的天气怎么样,weather_query,天气查询
280,22,英国脱欧谈判进展如何,news_query,新闻查询
282,22,谁将赢得下一届法国选举,news_query,新闻查询
283,13,你觉得周天会出太阳吗,weather_query,天气查询
284,13,晚上下雨吗,weather_query,天气查询
285,13,明天会刮风吗,weather_query,天气查询
287,18,把沙发旁边的灯点亮,iot_hue_lightup,物联网色调点亮
288,18,点亮,iot_hue_lightup,物联网色调点亮
289,0,现在莫斯科几点了,datetime_query,日期时间查询
291,34,帮厨房吸尘,iot_cleaning,物联网清洁
